Date,URL
FRIDAY 30TH APRIL,https://www.nrl.com/draw/nrl-premiership/2021/round-8/broncos-v-titans/
SATURDAY 1ST MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-8/panthers-v-sea-eagles/
SATURDAY 1ST MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-8/bulldogs-v-eels/
SATURDAY 1ST MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-8/knights-v-roosters/
SUNDAY 2ND MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-8/warriors-v-cowboys/
SUNDAY 2ND MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-8/dragons-v-wests-tigers/
THURSDAY 6TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/rabbitohs-v-storm/
FRIDAY 7TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/panthers-v-sharks/
FRIDAY 7TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/eels-v-roosters/
SATURDAY 8TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/raiders-v-knights/
SATURDAY 8TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/wests-tigers-v-titans/
SATURDAY 8TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/cowboys-v-broncos/
SUNDAY 9TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/sea-eagles-v-warriors/
SUNDAY 9TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-9/dragons-v-bulldogs/
FRIDAY 14TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/wests-tigers-v-knights/
FRIDAY 14TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/sea-eagles-v-broncos/
SATURDAY 15TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/bulldogs-v-raiders/
SATURDAY 15TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/sharks-v-rabbitohs/
SATURDAY 15TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/roosters-v-cowboys/
SUNDAY 16TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/warriors-v-eels/
SUNDAY 16TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/storm-v-dragons/
